IMG,TITLE,PRICE
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/i/p/ips-21-33_2pc_2_.jpg,Dyed Cotton Shirt With Trouser - IPS-21-33 2PC,"PKR 3,593PKR 3,593"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/glamour-21-20_2pc_4_.jpg,Kathan Silk Kurta With Zari Organza Dupatta GLAMOUR-21-20 2PC,"PKR 4,043"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/glamour-21-11_2pc_2__1.jpg,Kathan Silk Kurta With Zari Organza Dupatta GLAMOUR-21-11 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/glamour-21-19_2pc_7__1.jpg,Kathan Silk Kurta With Zari Organza Dupatta GLAMOUR-21-19 2PC,"PKR 4,043"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/glamour-21-16_2pc_2_.jpg,Kathan Silk Kurta With Zari Organza Dupatta GLAMOUR-21-16 2PC,"PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/g/l/glamour-21-17_2pc_2_.jpg,Kathan Silk Kurta With Zari Organza Dupatta GLAMOUR-21-17 2PC,"PKR 3,968PKR 3,968"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/e/i/eiiueufhhvfduhduhsoifhwqicjaicjaicsnibcnv_1_.jpg,Cambric Digital Printed Shirt WGK-LWS-DP-225,"PKR 2,243"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/e/y/eyugeufgeufewifehgsbsvysfsdbjdsbn_3_.jpg,Cambric Digital Printed Shirt WGK-LWS-DP-253,"PKR 2,318"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/j/g/jgurhvjdnurhughbdskkpofeiugrhdvndoisvhugfewgf_1_.jpg,Cambric Printed Shirt WGK-LWS-DP-129,"PKR 1,943"
https://cdn.gulahmedshop.com/media/catalog/product/cache/4319fc9be0c138970b7cba6999e08cf8/e/i/eioureyehdggbvdswjfeinknf_1_.jpg,Cambric Screen Printed Shirt WGK-LWS-SP-234,"PKR 4,193"
