COLOR,DESIGN,FABRIC,IMG,PRICE,PRODUCT_TYPE,SKU,TECHNIQUE,TITLE
Off-White,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m2103035_off-white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Dupatta,M2103035,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece0
Off-White,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21381_off-white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21381,Technique: Printed,Unstitched Printed 3 Piece1
White,Design: Traditional,Fabric: Cambric,"https://pk.khaadi.com/media/catalog/product/k/2/k21201_white_1_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 9,990",Product Type: Kameez Pants Dupatta,K21201,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece2
Green,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l21351_off-white_1_10.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,190",Product Type: Kameez Dupatta,L21351,Technique: Printed,Printed Kameez Dupatta3
White,Design: Traditional,Fabric: Dobby,"https://pk.khaadi.com/media/catalog/product/k/d/kd21202_white_1_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 8,990",Product Type: Kameez Pants Dupatta,KD21202,Technique: Solid Embroidered,Unstitched Embroidered 3 Piece4
Off-White,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m21301_off-white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,090",Product Type: Kameez Dupatta,M21301,Technique: Printed Embroidered,Printed Embroidered Kameez Dupatta5
Green,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210542_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210542,Technique: Printed,Printed Kameez Pants Dupatta6
White,Design: Traditional,Fabric: Dobby,"https://pk.khaadi.com/media/catalog/product/k/d/kd21203_white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 6,490",Product Type: Kameez Pants Dupatta,KD21203,Technique: Solid Embroidered,Unstitched Embroidered 3 Piece7
Olive,Shirt Length: 3.5 meters,Fabric: Slub Lawn,"https://pk.khaadi.com/media/catalog/product/i/s/is21301_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants,IS21301,Technique: Dyed Embroidered,Embroidered Kameez Pants8
Green,Shirt Length: 3.1 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21323_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,290",Product Type: Kameez Pants Dupatta,A21323,Technique: Printed,Printed Kameez Pants Dupatta9
White,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/j/2/j21324_white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,990",Product Type: Kameez Pants,J21324,Technique: Printed,Unstitched Printed 2 Piece10
Off-White,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21262_off-white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,390",Product Type: Kameez Pants Dupatta,B21262,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece11
